model,test_season,config_chosen_on_prior_seasons,games,brier,log_loss,accuracy
Any SR model [fixed K],2011,exp_b6_dz0.00|fixed,715,0.185478,0.546729,0.71329
Any SR model [fixed K],2012,exp_b6_dz0.00|fixed,732,0.182375,0.536858,0.72131
Any SR model [fixed K],2013,exp_b6_dz0.00|fixed,737,0.16784,0.501522,0.74084
Any SR model [fixed K],2014,exp_b6_dz0.00|fixed,760,0.184791,0.542369,0.71842
Any SR model [fixed K],2015,exp_b6_dz0.00|fixed,765,0.171866,0.515366,0.74902
Any SR model [fixed K],2016,exp_b6_dz0.00|fixed,760,0.193246,0.565762,0.7
Any SR model [fixed K],2017,exp_b6_dz0.00|fixed,776,0.193554,0.566519,0.69459
Any SR model [fixed K],2018,exp_b6_dz0.00|fixed,772,0.17877,0.533071,0.72539
Any SR model [fixed K],2019,exp_b6_dz0.00|fixed,774,0.179938,0.532283,0.7261
Any SR model [fixed K],2020,exp_b6_dz0.00|fixed,534,0.19419,0.573522,0.70225
Any SR model [fixed K],2021,exp_b5_dz0.00|fixed,770,0.190265,0.557333,0.69481
Any SR model [fixed K],2022,exp_b5_dz0.00|fixed,776,0.204473,0.595999,0.66495
Any SR model [fixed K],2023,exp_b5_dz0.00|fixed,792,0.189948,0.558783,0.70581
Any SR model [fixed K],2024,exp_b5_dz0.00|fixed,798,0.205425,0.593799,0.6792
Any SR model [fixed K],2025,exp_b5_dz0.00|fixed,808,0.187995,0.552059,0.71535
Any SR model [fixed K],2026,exp_b5_dz0.00|fixed,157,0.157966,0.491986,0.78981
