config,family,k_mode,K,shape,beta,dead_zone,floor,ceiling,sat_A,games,brier,log_loss,accuracy
linear_b9_dz0.05|norm,Dead-zone SRDiff,normalized,58.169,linear,9,0.05,,,,11426,0.185746,0.54736,0.71337
linear_b9_dz0.05|fixed,Dead-zone SRDiff,fixed,35,linear,9,0.05,,,,11426,0.187527,0.552433,0.71005
linear_b10_dz0.01|norm,Dead-zone SRDiff,normalized,50.095,linear,10,0.01,,,,11426,0.186477,0.549736,0.71512
linear_b10_dz0.01|fixed,Dead-zone SRDiff,fixed,35,linear,10,0.01,,,,11426,0.187054,0.550945,0.71259
linear_b10_dz0.02|norm,Dead-zone SRDiff,normalized,51.563,linear,10,0.02,,,,11426,0.186294,0.549141,0.71486
linear_b10_dz0.02|fixed,Dead-zone SRDiff,fixed,35,linear,10,0.02,,,,11426,0.187076,0.551009,0.71232
linear_b10_dz0.03|norm,Dead-zone SRDiff,normalized,53.058,linear,10,0.03,,,,11426,0.186132,0.548607,0.71521
linear_b10_dz0.03|fixed,Dead-zone SRDiff,fixed,35,linear,10,0.03,,,,11426,0.187134,0.551183,0.71119
linear_b10_dz0.04|norm,Dead-zone SRDiff,normalized,54.589,linear,10,0.04,,,,11426,0.18598,0.548114,0.71355
linear_b10_dz0.04|fixed,Dead-zone SRDiff,fixed,35,linear,10,0.04,,,,11426,0.187212,0.551431,0.7104
linear_b10_dz0.05|norm,Dead-zone SRDiff,normalized,56.164,linear,10,0.05,,,,11426,0.185854,0.547707,0.71302
linear_b10_dz0.05|fixed,Dead-zone SRDiff,fixed,35,linear,10,0.05,,,,11426,0.187322,0.551782,0.71083
linear_b1_dz0.00_f0.50-c1.50|norm,Bounded SRDiff,normalized,78.679,linear,1,0.0,0.5,1.5,,11426,0.1878,0.552244,0.70873
linear_b1_dz0.00_f0.50-c1.50|fixed,Bounded SRDiff,fixed,35,linear,1,0.0,0.5,1.5,,11426,0.192658,0.566672,0.70051
linear_b1_dz0.00_f0.50-c1.75|norm,Bounded SRDiff,normalized,78.67,linear,1,0.0,0.5,1.75,,11426,0.187799,0.552242,0.70873
linear_b1_dz0.00_f0.50-c1.75|fixed,Bounded SRDiff,fixed,35,linear,1,0.0,0.5,1.75,,11426,0.192656,0.566667,0.70042
linear_b1_dz0.00_f0.50-c2.00|norm,Bounded SRDiff,normalized,78.67,linear,1,0.0,0.5,2.0,,11426,0.187799,0.552242,0.70873
linear_b1_dz0.00_f0.50-c2.00|fixed,Bounded SRDiff,fixed,35,linear,1,0.0,0.5,2.0,,11426,0.192656,0.566667,0.70042
linear_b1_dz0.00_f0.50-c2.25|norm,Bounded SRDiff,normalized,78.67,linear,1,0.0,0.5,2.25,,11426,0.187799,0.552242,0.70873
linear_b1_dz0.00_f0.50-c2.25|fixed,Bounded SRDiff,fixed,35,linear,1,0.0,0.5,2.25,,11426,0.192656,0.566667,0.70042
linear_b1_dz0.00_f0.50-c2.50|norm,Bounded SRDiff,normalized,78.67,linear,1,0.0,0.5,2.5,,11426,0.187799,0.552242,0.70873
linear_b1_dz0.00_f0.50-c2.50|fixed,Bounded SRDiff,fixed,35,linear,1,0.0,0.5,2.5,,11426,0.192656,0.566667,0.70042
linear_b1_dz0.00_f0.60-c1.50|norm,Bounded SRDiff,normalized,78.679,linear,1,0.0,0.6,1.5,,11426,0.187799,0.552242,0.70873
linear_b1_dz0.00_f0.60-c1.50|fixed,Bounded SRDiff,fixed,35,linear,1,0.0,0.6,1.5,,11426,0.192657,0.566671,0.70051
linear_b1_dz0.00_f0.60-c1.75|norm,Bounded SRDiff,normalized,78.67,linear,1,0.0,0.6,1.75,,11426,0.187798,0.55224,0.70873
linear_b1_dz0.00_f0.60-c1.75|fixed,Bounded SRDiff,fixed,35,linear,1,0.0,0.6,1.75,,11426,0.192655,0.566665,0.70042
linear_b1_dz0.00_f0.60-c2.00|norm,Bounded SRDiff,normalized,78.67,linear,1,0.0,0.6,2.0,,11426,0.187798,0.55224,0.70873
linear_b1_dz0.00_f0.60-c2.00|fixed,Bounded SRDiff,fixed,35,linear,1,0.0,0.6,2.0,,11426,0.192655,0.566665,0.70042
