model,test_season,config_chosen_on_prior_seasons,games,brier,log_loss,accuracy
reshaped MOV,2023,shape_p2.0_c1.1,792,0.185743,0.550246,0.71086
reshaped MOV,2024,shape_p2.0_c1.1,798,0.197409,0.575213,0.6792
reshaped MOV,2025,shape_p2.0_c1.1,808,0.184612,0.544574,0.70668
reshaped MOV,2026,shape_p2.0_c1.1,157,0.155822,0.487955,0.78344
reshaped hybrid,2011,shape_p2.0_c2.2_g2.0,715,0.180261,0.535615,0.73706
reshaped hybrid,2012,shape_p1.5_c1.1_g2.0,732,0.172898,0.514831,0.7377
reshaped hybrid,2013,shape_p2.0_c1.1_g1.5,737,0.164659,0.492497,0.75441
reshaped hybrid,2014,shape_p1.5_c1.1_g2.0,760,0.186095,0.545808,0.70921
reshaped hybrid,2015,shape_p1.5_c1.1_g2.5,765,0.17111,0.510277,0.74379
reshaped hybrid,2016,shape_p1.5_c1.1_g2.5,760,0.190798,0.55838,0.70263
reshaped hybrid,2017,shape_p1.5_c1.1_g2.5,776,0.190251,0.558013,0.6933
reshaped hybrid,2018,shape_p1.25_c1.1_g2.5,772,0.174852,0.519535,0.72927
reshaped hybrid,2019,shape_p1.25_c1.1_g2.5,774,0.174438,0.518546,0.72997
reshaped hybrid,2020,shape_p1.25_c1.1_g2.5,534,0.190274,0.565174,0.71161
reshaped hybrid,2021,shape_p1.25_c1.1_g2.5,770,0.187773,0.553471,0.70519
reshaped hybrid,2022,shape_p1.25_c1.1_g2.5,776,0.204263,0.595797,0.67912
reshaped hybrid,2023,shape_p1.25_c1.1_g2.5,792,0.184699,0.546892,0.71591
reshaped hybrid,2024,shape_p1.25_c1.1_g2.5,798,0.197708,0.576512,0.68672
reshaped hybrid,2025,shape_p1.25_c1.1_g2.0,808,0.18321,0.540926,0.72525
reshaped hybrid,2026,shape_p1.25_c1.1_g2.0,157,0.15514,0.486772,0.77707
