team_id,season_year,game_coe_total,bonus_total,season_coe2,games_counted,formula_version
81,1986,14.399906,0.0,14.399906,10,coe2_bonus_v1
125,1986,14.361462,0.0,14.361462,10,coe2_bonus_v1
90,1986,14.264834,0.0,14.264834,11,coe2_bonus_v1
25,1986,14.179103,0.0,14.179103,11,coe2_bonus_v1
79,1986,14.082749,0.0,14.082749,11,coe2_bonus_v1
3,1986,13.998792,0.0,13.998792,11,coe2_bonus_v1
68,1986,13.369647,0.0,13.369647,10,coe2_bonus_v1
35,1986,13.066085,0.0,13.066085,11,coe2_bonus_v1
109,1986,12.949126,0.0,12.949126,8,coe2_bonus_v1
33,1986,12.662012,0.0,12.662012,10,coe2_bonus_v1
48,1986,12.519198,0.0,12.519198,10,coe2_bonus_v1
85,1986,12.482846,0.0,12.482846,9,coe2_bonus_v1
83,1986,12.410429,0.0,12.410429,11,coe2_bonus_v1
34,1986,12.370936,0.0,12.370936,7,coe2_bonus_v1
95,1986,11.559538,0.0,11.559538,11,coe2_bonus_v1
74,1986,11.483897,0.0,11.483897,11,coe2_bonus_v1
26,1986,11.185614,0.0,11.185614,12,coe2_bonus_v1
32,1986,11.156993,0.0,11.156993,9,coe2_bonus_v1
75,1986,11.088007,0.0,11.088007,10,coe2_bonus_v1
94,1986,10.855594,0.0,10.855594,9,coe2_bonus_v1
84,1986,10.641827,0.0,10.641827,9,coe2_bonus_v1
124,1986,10.549618,0.0,10.549618,9,coe2_bonus_v1
2,1986,10.479219,0.0,10.479219,11,coe2_bonus_v1
41,1986,10.261965,0.0,10.261965,9,coe2_bonus_v1
89,1986,10.213886,0.0,10.213886,11,coe2_bonus_v1
28,1986,10.107946,0.0,10.107946,11,coe2_bonus_v1
55,1986,9.303279,0.0,9.303279,9,coe2_bonus_v1
38,1986,9.264003,0.0,9.264003,10,coe2_bonus_v1
82,1986,9.184274,0.0,9.184274,10,coe2_bonus_v1
54,1986,9.166714,0.0,9.166714,11,coe2_bonus_v1
91,1986,9.04944,0.0,9.04944,10,coe2_bonus_v1
10,1986,9.04688,0.0,9.04688,6,coe2_bonus_v1
49,1986,8.694064,0.0,8.694064,7,coe2_bonus_v1
73,1986,8.540605,0.0,8.540605,11,coe2_bonus_v1
76,1986,8.226931,0.0,8.226931,12,coe2_bonus_v1
128,1986,8.148682,0.0,8.148682,10,coe2_bonus_v1
4,1986,7.384796,0.0,7.384796,10,coe2_bonus_v1
56,1986,6.920524,0.0,6.920524,10,coe2_bonus_v1
86,1986,6.787708,0.0,6.787708,10,coe2_bonus_v1
5,1986,6.769595,0.0,6.769595,11,coe2_bonus_v1
19,1986,6.448716,0.0,6.448716,11,coe2_bonus_v1
20,1986,5.92713,0.0,5.92713,8,coe2_bonus_v1
14,1986,5.581303,0.0,5.581303,6,coe2_bonus_v1
40,1986,3.516845,0.0,3.516845,11,coe2_bonus_v1
115,1986,3.508325,0.0,3.508325,10,coe2_bonus_v1
50,1986,3.445705,0.0,3.445705,10,coe2_bonus_v1
100,1986,3.429323,0.0,3.429323,10,coe2_bonus_v1
131,1986,3.319316,0.0,3.319316,11,coe2_bonus_v1
30,1986,3.282921,0.0,3.282921,9,coe2_bonus_v1
110,1986,3.095972,0.0,3.095972,7,coe2_bonus_v1
29,1986,2.490301,0.0,2.490301,9,coe2_bonus_v1
27,1986,0.0,0.0,0.0,7,coe2_bonus_v1
127,1987,28.028434,0.0,28.028434,12,coe2_bonus_v1
105,1987,27.515846,0.0,27.515846,11,coe2_bonus_v1
24,1987,26.739812,0.0,26.739812,13,coe2_bonus_v1
70,1987,26.205631,0.0,26.205631,12,coe2_bonus_v1
85,1987,25.815858,0.0,25.815858,10,coe2_bonus_v1
126,1987,25.714908,0.0,25.714908,11,coe2_bonus_v1
78,1987,25.38408,0.0,25.38408,13,coe2_bonus_v1
33,1987,25.203811,0.0,25.203811,12,coe2_bonus_v1
130,1987,25.193585,0.0,25.193585,13,coe2_bonus_v1
36,1987,24.032369,0.0,24.032369,11,coe2_bonus_v1
133,1987,23.939177,0.0,23.939177,11,coe2_bonus_v1
8,1987,23.416601,0.0,23.416601,12,coe2_bonus_v1
129,1987,23.386054,0.0,23.386054,11,coe2_bonus_v1
31,1987,23.295291,0.0,23.295291,12,coe2_bonus_v1
72,1987,23.127951,0.0,23.127951,12,coe2_bonus_v1
122,1987,23.101036,0.0,23.101036,12,coe2_bonus_v1
18,1987,23.08434,0.0,23.08434,13,coe2_bonus_v1
25,1987,22.680191,0.0,22.680191,13,coe2_bonus_v1
88,1987,22.508974,0.0,22.508974,12,coe2_bonus_v1
52,1987,22.241822,0.0,22.241822,11,coe2_bonus_v1
7,1987,21.926536,0.0,21.926536,12,coe2_bonus_v1
123,1987,21.815757,0.0,21.815757,12,coe2_bonus_v1
91,1987,21.77614,0.0,21.77614,11,coe2_bonus_v1
79,1987,21.113966,0.0,21.113966,12,coe2_bonus_v1
53,1987,21.037036,0.0,21.037036,13,coe2_bonus_v1
35,1987,20.325185,0.0,20.325185,12,coe2_bonus_v1
87,1987,18.907244,0.0,18.907244,12,coe2_bonus_v1
104,1987,18.27026,0.0,18.27026,11,coe2_bonus_v1
121,1987,18.212859,0.0,18.212859,12,coe2_bonus_v1
3,1987,17.82164,0.0,17.82164,11,coe2_bonus_v1
48,1987,17.647932,0.0,17.647932,12,coe2_bonus_v1
69,1987,17.562343,0.0,17.562343,11,coe2_bonus_v1
22,1987,17.317084,0.0,17.317084,11,coe2_bonus_v1
50,1987,16.96694,0.0,16.96694,10,coe2_bonus_v1
114,1987,16.685599,0.0,16.685599,10,coe2_bonus_v1
128,1987,16.659108,0.0,16.659108,10,coe2_bonus_v1
28,1987,16.476442,0.0,16.476442,10,coe2_bonus_v1
1,1987,15.805055,0.0,15.805055,11,coe2_bonus_v1
71,1987,15.616684,0.0,15.616684,11,coe2_bonus_v1
16,1987,15.572775,0.0,15.572775,11,coe2_bonus_v1
94,1987,15.432183,0.0,15.432183,9,coe2_bonus_v1
89,1987,15.309791,0.0,15.309791,12,coe2_bonus_v1
9,1987,15.10633,0.0,15.10633,8,coe2_bonus_v1
39,1987,14.641323,0.0,14.641323,10,coe2_bonus_v1
96,1987,14.536277,0.0,14.536277,11,coe2_bonus_v1
6,1987,14.15284,0.0,14.15284,11,coe2_bonus_v1
83,1987,14.122503,0.0,14.122503,10,coe2_bonus_v1
54,1987,13.839735,0.0,13.839735,11,coe2_bonus_v1
68,1987,13.664196,0.0,13.664196,9,coe2_bonus_v1
106,1987,13.661255,0.0,13.661255,11,coe2_bonus_v1
116,1987,13.654919,0.0,13.654919,11,coe2_bonus_v1
100,1987,13.164922,0.0,13.164922,10,coe2_bonus_v1
93,1987,13.072149,0.0,13.072149,10,coe2_bonus_v1
131,1987,12.966649,0.0,12.966649,11,coe2_bonus_v1
125,1987,12.822287,0.0,12.822287,11,coe2_bonus_v1
84,1987,12.480943,0.0,12.480943,10,coe2_bonus_v1
38,1987,12.441802,0.0,12.441802,10,coe2_bonus_v1
81,1987,12.441207,0.0,12.441207,10,coe2_bonus_v1
95,1987,12.339263,0.0,12.339263,10,coe2_bonus_v1
82,1987,12.241399,0.0,12.241399,9,coe2_bonus_v1
132,1987,12.051173,0.0,12.051173,11,coe2_bonus_v1
15,1987,12.021292,0.0,12.021292,11,coe2_bonus_v1
77,1987,11.99788,0.0,11.99788,10,coe2_bonus_v1
49,1987,11.788368,0.0,11.788368,9,coe2_bonus_v1
