end_year,window_start,window_end,team_name,coeff_5yr
2021,2017,2021,Oregon,8.073774
2021,2017,2021,Wisconsin,7.979646
2021,2017,2021,Baylor,7.559796
2021,2017,2021,Penn State,6.980285
2021,2017,2021,Michigan,6.965403
2021,2017,2021,Northwestern,6.893558
2021,2017,2021,Kentucky,6.748544
2021,2017,2021,West Virginia,6.726459
2021,2017,2021,Michigan State,6.651285
2021,2017,2021,Utah,6.428544
2021,2017,2021,Washington,5.955364
2021,2017,2021,Miami (FL),5.861539
2021,2017,2021,Minnesota,5.444187
2021,2017,2021,Mississippi State,5.42085
2021,2017,2021,Pittsburgh,5.291389
2021,2017,2021,USC,5.174924
2021,2017,2021,Washington State,4.985518
2021,2017,2021,Stanford,4.939047
2021,2017,2021,NC State,4.802939
2021,2017,2021,Purdue,4.801177
2021,2017,2021,Ole Miss,4.685007
2021,2017,2021,Arizona State,4.620771
2021,2017,2021,Texas Tech,4.611677
2021,2017,2021,UCF,4.479466
2021,2017,2021,Wake Forest,4.463816
2021,2017,2021,South Carolina,4.41618
2021,2017,2021,Cincinnati,4.414767
2021,2017,2021,Missouri,4.256588
2021,2017,2021,San Diego State,4.200252
2021,2017,2021,Virginia Tech,4.140157
2021,2017,2021,Boise State,4.120793
2021,2017,2021,Louisiana,4.040339
2021,2017,2021,Virginia,3.99417
2021,2017,2021,BYU,3.717184
2021,2017,2021,Arkansas,3.619406
2021,2017,2021,North Carolina,3.605755
2021,2017,2021,Tennessee,3.587305
2021,2017,2021,California,3.475551
2021,2017,2021,Syracuse,3.406279
2021,2017,2021,Fresno State,3.403249
2021,2017,2021,UCLA,3.22524
2021,2017,2021,Duke,3.137169
2021,2017,2021,Boston College,3.005668
2021,2017,2021,Coastal Carolina,2.936597
2021,2017,2021,Air Force,2.908279
2021,2017,2021,Army,2.890371
2021,2017,2021,Louisville,2.884586
2021,2017,2021,Florida State,2.867254
2021,2017,2021,Memphis,2.67733
2021,2017,2021,Maryland,2.654457
2021,2017,2021,Utah State,2.601917
2021,2017,2021,Liberty,2.584798
2021,2017,2021,Northern Illinois,2.510459
2021,2017,2021,Navy,2.467032
2021,2017,2021,Hawai'i,2.464251
2021,2017,2021,Houston,2.412005
2021,2017,2021,Western Michigan,2.411466
2021,2017,2021,Georgia Tech,2.271052
2021,2017,2021,Colorado,2.269788
2021,2017,2021,Oregon State,2.168481
2021,2017,2021,Arizona,2.07522
2021,2017,2021,Miami (OH),2.062975
2021,2017,2021,Illinois,2.041332
2021,2017,2021,Central Michigan,1.994886
2021,2017,2021,SMU,1.979137
2021,2017,2021,Indiana,1.957316
2021,2017,2021,Wyoming,1.876953
2021,2017,2021,Eastern Michigan,1.862865
2021,2017,2021,Toledo,1.810686
2021,2017,2021,Nevada,1.786918
2021,2017,2021,Ohio,1.783556
2021,2017,2021,Troy,1.738284
2021,2017,2021,Nebraska,1.686466
2021,2017,2021,UAB,1.675401
2021,2017,2021,Ball State,1.603603
2021,2017,2021,Georgia State,1.450188
2021,2017,2021,Kent State,1.397675
2021,2017,2021,Buffalo,1.370068
2021,2017,2021,Temple,1.321994
2021,2017,2021,Arkansas State,1.305153
2021,2017,2021,Tulsa,1.252931
